,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,13
1,Armadale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,Ashburton,0,45,0,0,0,30,12,0,0,0,33,4,6,96,0,0,227
3,Augusta Margaret River,0,0,0,0,0,390,15,0,0,0,0,5,9,47,0,0,459
4,Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,Bayswater,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,7
6,Belmont,0,0,0,0,0,20,0,0,0,0,0,0,13,26,0,0,55
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,3,0,0,0,21,0,0,0,0,0,0,0,15,0,0,43
9,Boyup Brook,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,7
10,Bridgetown-Greenbushes,0,4,0,0,0,24,0,0,0,0,0,0,0,5,0,0,27
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,5,3,0,0,0,5,7,3,0,0,0,24
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,3,0,0,0,794,36,4,0,0,3,0,37,144,0,0,1026
16,Busselton,3,33,0,0,28,9078,733,51,13,194,50,366,1344,1726,92,0,13716
17,Cambridge,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,11
18,Canning,0,0,0,0,0,20,0,0,0,0,0,0,7,8,0,0,39
19,Capel,0,0,0,0,0,233,16,4,0,0,0,0,6,24,4,0,284
20,Carnamah,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
21,Carnarvon,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,13
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
26,Cockburn,0,0,0,0,0,17,4,0,0,0,0,0,0,10,0,0,32
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,27,0,0,0,0,0,0,0,11,0,0,36
29,Coolgardie,0,3,0,0,0,4,0,0,0,0,3,0,0,8,0,0,20
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
38,Dandaragan,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13
39,Dardanup,0,0,0,0,0,42,0,0,0,0,0,0,0,5,0,0,53
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
42,Donnybrook-Balingup,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,34
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
46,East Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
47,East Pilbara,0,88,0,0,3,39,17,0,0,0,54,3,5,114,4,0,326
48,Esperance,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
49,Exmouth,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,13
50,Fremantle,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,20
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
55,Greater Geraldton,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
57,Harvey,0,4,0,0,0,47,4,0,0,0,0,0,0,4,0,0,57
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,0,0,0,0,0,6,4,0,0,0,0,0,3,7,0,0,18
61,Kalamunda,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
62,Kalgoorlie-Boulder,0,0,0,0,0,13,4,0,0,0,3,0,3,13,0,0,36
63,Karratha,0,14,0,0,0,13,10,0,0,0,0,6,5,33,0,0,79
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
68,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,0,0,0,0,0,12,0,3,0,0,0,0,0,4,0,0,12
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,10,0,0,0,11,0,0,0,0,8,0,0,21,0,0,57
74,Leonora,0,5,0,0,0,14,4,0,0,0,9,0,0,10,0,0,49
75,Mandurah,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
76,Manjimup,0,0,0,0,0,6,0,0,0,0,0,3,3,6,0,0,19
77,Meekatharra,0,0,0,0,0,5,0,0,0,0,4,4,0,10,0,0,29
78,Melville,0,0,0,0,0,20,3,0,0,0,0,0,8,7,0,0,36
79,Menzies,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,0,10
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
85,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,5
91,Nannup,0,0,0,0,0,33,0,0,0,0,0,6,0,8,0,0,42
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Nedlands,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Perenjori,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,13
101,Perth,8,15,0,0,0,58,6,0,0,0,19,12,64,59,4,0,250
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
104,Port Hedland,0,4,0,0,0,7,0,0,0,0,0,0,0,8,0,0,24
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,5,0,0,0,0,0,0,0,0,4,0,0,3,0,0,9
107,Rockingham,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11
