,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,0,0,0,0,0,27,0,0,0,0,0,0,0,4,0,0,28
2,Ashburton,0,13,0,0,0,5,3,0,0,0,9,7,0,17,0,0,50
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,0,0,0,0,0,22,3,0,0,0,0,0,4,5,0,0,28
5,Bayswater,0,0,0,0,4,118,0,0,0,0,0,0,5,18,0,0,158
6,Belmont,9,3,0,0,0,295,8,0,0,0,0,0,15,37,0,0,366
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,0,7
16,Busselton,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,9
17,Cambridge,8,24,0,0,7,855,74,10,3,24,11,191,1011,286,3,0,2522
18,Canning,8,0,0,0,0,219,4,0,6,3,3,0,10,30,0,0,284
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,10,8,0,0,0,212,11,0,0,4,0,0,5,55,0,0,302
26,Cockburn,4,0,0,0,0,132,0,0,0,0,0,0,3,15,0,0,159
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
29,Coolgardie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,3,0,0,0,0,75,4,0,0,0,0,0,10,20,0,0,109
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,East Fremantle,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,11
47,East Pilbara,0,8,0,0,0,4,0,0,0,0,4,4,0,10,0,0,42
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
50,Fremantle,28,0,0,0,0,165,4,0,0,0,0,0,19,28,0,0,245
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,0,0,0,0,0,26,5,0,0,0,0,0,5,8,0,0,41
55,Greater Geraldton,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,11
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,17,0,0,0,0,287,9,0,0,0,0,0,23,40,0,0,367
61,Kalamunda,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,36
62,Kalgoorlie-Boulder,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,17
63,Karratha,0,0,0,0,0,6,4,0,0,0,6,0,4,3,0,0,17
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,0,0,0,0,0,22,3,0,0,0,0,0,4,7,0,0,39
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14
74,Leonora,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7
75,Mandurah,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
77,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
78,Melville,20,0,0,0,0,222,0,0,0,5,3,4,21,40,0,0,313
79,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,3,0,0,0,0,35,5,0,0,0,0,0,0,5,0,0,47
85,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,16
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Nedlands,3,9,0,0,7,388,19,0,0,12,0,0,19,43,0,0,510
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,42
100,Perenjori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Perth,314,702,0,0,34,1947,266,3,26,244,33,64,458,386,7,0,4481
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,13
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Rockingham,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,35
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,6,3,0,0,0,116,5,0,0,0,0,0,4,13,0,0,145
112,Stirling,12,25,0,0,5,1123,60,4,0,21,3,8,48,183,0,0,1501
113,Subiaco,9,23,0,0,9,638,64,0,0,41,8,66,47,135,3,0,1037
114,Swan,3,4,0,0,0,192,0,0,0,0,0,0,5,28,0,0,237
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,6,7,0,0,4,225,12,0,0,4,0,0,25,36,0,0,321
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vincent,10,22,0,0,3,362,24,0,3,18,0,18,24,36,0,0,520
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,3,0,0,0,0,168,0,0,0,0,0,0,11,19,0,0,201
126,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Wiluna,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,14
132,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
