,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13
1,Armadale,27,4,0,0,0,756,31,0,0,3,0,4,11,101,4,0,937
2,Ashburton,0,26,0,0,9,16,13,0,0,0,41,6,4,64,0,0,182
3,Augusta Margaret River,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
4,Bassendean,8,0,0,0,0,179,3,0,0,0,0,0,0,5,0,0,204
5,Bayswater,16,6,0,0,0,419,19,3,3,0,0,0,3,40,3,0,523
6,Belmont,32,51,0,0,24,2038,98,16,4,5,32,4,48,210,9,0,2571
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,3,0,0,0,8,0,0,0,0,4,0,0,9,0,0,29
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,11
13,Broomehill-Tambellup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,25
16,Busselton,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14
17,Cambridge,34,3,0,0,3,295,12,0,0,0,0,0,21,48,0,0,408
18,Canning,98,298,0,6,77,6850,614,53,21,82,77,284,1542,1075,49,0,11137
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,Claremont,14,7,0,0,0,140,8,0,0,0,0,0,6,15,0,0,181
26,Cockburn,22,8,4,0,9,1768,62,5,3,3,11,8,37,200,8,0,2147
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4
29,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
32,Cottesloe,4,0,0,0,0,34,3,0,0,0,0,0,0,8,0,0,50
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
38,Dandaragan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
40,Denmark,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,East Fremantle,0,0,0,0,0,68,3,0,0,0,0,0,0,10,0,0,86
47,East Pilbara,0,62,0,0,8,30,21,0,0,0,71,7,5,68,0,0,279
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
50,Fremantle,32,39,0,0,3,873,38,4,3,0,3,0,32,139,0,0,1176
51,Gingin,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,22,44,0,0,6,1711,145,14,0,3,10,14,18,232,8,0,2226
55,Greater Geraldton,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,15
56,Halls Creek,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14
57,Harvey,0,9,0,0,0,8,0,0,0,0,0,0,4,0,0,0,13
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,36,0,0,0,0,204,6,0,0,0,0,0,9,29,4,0,290
61,Kalamunda,0,7,0,0,5,525,20,8,0,0,8,0,9,45,3,0,644
62,Kalgoorlie-Boulder,0,4,0,0,0,16,3,0,0,0,4,0,0,6,0,0,38
63,Karratha,0,14,0,0,0,23,22,3,0,0,14,4,0,38,0,0,114
