,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
1,Armadale,0,3,0,0,7,943,41,11,4,0,3,0,7,144,4,0,1158
2,Ashburton,0,101,0,0,9,37,19,6,0,0,75,15,3,116,0,0,384
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,5,0,0,0,0,85,0,0,0,0,0,0,0,10,0,0,100
5,Bayswater,6,0,0,0,0,272,10,4,0,0,0,0,3,38,4,0,335
6,Belmont,28,10,0,0,3,1361,43,11,7,3,16,0,71,193,3,0,1747
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,5,0,0,0,23,6,0,0,0,0,0,0,14,0,0,48
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,3,0,0,0,10,3,0,0,0,0,0,0,0,0,0,16
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,7
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
15,Bunbury,0,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,33
16,Busselton,0,0,0,0,0,4,0,0,0,0,5,0,3,0,0,0,9
17,Cambridge,49,0,0,0,4,269,12,0,0,3,3,0,24,36,0,0,401
18,Canning,44,30,4,0,15,3051,140,14,4,3,18,4,73,311,14,0,3721
19,Capel,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,13
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,4,3,0,0,0,218,8,0,0,0,4,0,4,38,0,0,276
26,Cockburn,79,218,20,0,71,11131,1062,115,41,102,83,400,2194,1629,53,0,17193
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
29,Coolgardie,0,10,0,0,0,7,0,0,0,0,3,0,0,7,0,0,33
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,4,0,0,0,0,102,7,0,0,0,0,0,0,22,0,0,143
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
