,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,Ashburton,0,16,0,0,0,7,3,0,0,0,3,0,0,34,0,0,71
3,Augusta Margaret River,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
4,Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bayswater,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
6,Belmont,0,0,0,0,0,4,0,0,0,0,0,0,3,8,0,0,15
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,5,0,0,0,5,3,0,0,0,0,0,0,10,0,0,28
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,20
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,22,0,0,4,2583,146,14,9,0,3,4,21,393,8,0,3217
16,Busselton,0,0,0,0,0,50,0,0,0,0,0,0,3,7,0,0,59
17,Cambridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18,Canning,0,0,0,0,0,10,0,0,0,0,0,0,3,4,0,0,13
19,Capel,0,0,0,0,0,160,13,0,0,0,0,0,0,28,0,0,205
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Cockburn,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,20
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,16,0,0,0,246,33,0,0,0,6,0,6,66,3,0,364
29,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
39,Dardanup,0,7,0,0,5,784,88,15,7,8,7,75,251,173,8,0,1415
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Donnybrook-Balingup,0,0,0,0,0,30,0,0,0,0,0,0,0,3,0,0,36
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5
46,East Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,East Pilbara,0,40,0,0,0,16,8,0,0,0,12,0,0,38,0,0,108
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
