,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
1,Armadale,4,0,0,0,0,79,0,0,0,0,0,0,0,6,0,0,93
2,Ashburton,0,21,0,0,3,13,5,0,0,0,16,12,0,26,0,0,94
3,Augusta Margaret River,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10
4,Bassendean,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18
5,Bayswater,0,0,0,0,0,58,0,0,0,0,0,0,4,4,0,0,58
6,Belmont,0,4,0,0,0,208,5,0,3,3,5,0,14,44,3,0,285
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,7,3,0,0,0,0,5,0,0,0,0,15
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11
17,Cambridge,13,0,0,0,0,91,6,0,0,0,0,0,10,20,4,0,143
18,Canning,10,12,0,0,0,427,20,0,0,3,9,0,20,43,3,0,551
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,16,3,0,0,0,179,7,0,0,0,0,0,3,26,0,0,237
26,Cockburn,10,19,3,0,6,867,64,10,9,19,0,11,28,125,3,0,1168
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
29,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
32,Cottesloe,11,0,0,0,0,92,4,0,0,0,0,0,3,15,0,0,131
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,7
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
41,Derby-West Kimberley,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,7
42,Donnybrook-Balingup,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,East Fremantle,0,6,0,0,4,130,15,0,0,7,0,9,0,29,0,0,194
47,East Pilbara,0,24,0,0,0,12,9,0,0,0,15,4,0,37,0,0,105
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
50,Fremantle,38,167,0,0,24,2019,215,16,26,240,24,550,1074,600,13,0,5007
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,3,3,0,0,0,103,0,0,0,0,0,0,3,20,5,0,133
55,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
56,Halls Creek,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
57,Harvey,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9
58,Irwin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,4,0,0,0,0,60,4,0,0,0,0,0,7,15,0,0,98
61,Kalamunda,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,66
62,Kalgoorlie-Boulder,0,0,0,0,0,4,0,0,0,0,4,4,0,5,0,0,18
63,Karratha,0,5,0,0,0,9,3,0,0,0,4,5,0,15,0,0,43
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,4,7,0,0,0,168,0,0,0,0,0,0,0,21,0,0,202
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,3,0,0,0,7,5,0,0,0,0,0,0,0,0,0,22
74,Leonora,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,20
75,Mandurah,0,0,0,0,0,38,0,0,0,0,0,0,0,3,0,0,38
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Meekatharra,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
78,Melville,6,103,0,0,6,1087,58,0,5,12,4,0,47,235,6,0,1563
79,Menzies,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,3,3,0,0,0,108,6,0,0,0,0,0,0,17,3,0,147
85,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Nedlands,13,10,0,0,0,209,4,0,3,0,0,3,11,29,0,0,283
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,47,0,0,0,0,0,0,0,7,0,0,51
100,Perenjori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Perth,719,131,0,0,13,971,92,3,17,47,26,4,295,266,12,0,2595
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,0,0,0,0,7,0,0,0,0,0,5,0,5,0,0,22
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8
107,Rockingham,3,4,0,0,0,208,4,0,0,0,4,0,8,14,0,0,255
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,23
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,4,3,0,0,0,151,3,0,0,0,0,0,11,31,0,0,194
112,Stirling,9,6,0,0,0,307,11,0,0,0,5,0,24,43,0,0,404
