,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
1,Armadale,56,22,0,0,18,2107,147,3,5,3,3,0,22,319,19,0,2720
2,Ashburton,0,65,0,0,5,23,27,0,0,0,53,16,3,103,8,0,308
3,Augusta Margaret River,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,12
4,Bassendean,3,0,0,0,0,287,11,0,0,0,0,0,3,13,0,0,327
5,Bayswater,22,4,0,0,0,486,19,0,0,0,0,0,9,59,7,0,613
6,Belmont,60,23,0,0,16,2948,122,39,8,7,29,6,69,312,9,0,3642
7,Beverley,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
8,Boddington,0,3,0,0,0,29,0,0,0,0,0,0,0,4,0,0,41
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,13
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,6
15,Bunbury,0,0,0,0,0,21,4,0,0,0,0,0,0,7,0,0,35
16,Busselton,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
17,Cambridge,33,0,0,0,0,199,10,0,0,0,3,0,6,28,0,0,284
18,Canning,151,194,3,0,70,7185,688,37,27,32,63,22,78,826,41,0,9419
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
24,Christmas Island,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
25,Claremont,21,0,0,0,0,106,5,0,0,0,0,0,0,20,0,0,157
26,Cockburn,34,27,4,6,11,2480,121,12,11,0,7,6,38,213,12,0,2960
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
29,Coolgardie,0,9,0,0,0,7,5,0,0,0,5,0,0,6,0,0,31
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,5,0,0,0,0,42,7,0,0,0,0,0,0,3,0,0,65
33,Cranbrook,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
36,Cunderdin,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
38,Dandaragan,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8
46,East Fremantle,3,0,0,0,0,32,3,0,0,0,0,0,0,8,0,0,53
47,East Pilbara,0,98,0,0,17,55,22,5,0,0,96,20,3,156,0,0,486
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
49,Exmouth,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
50,Fremantle,33,23,0,0,0,814,31,4,0,5,3,0,24,91,9,0,1033
51,Gingin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,94,130,5,3,76,6916,759,120,20,60,95,252,1466,1074,43,0,11121
55,Greater Geraldton,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,24
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8
57,Harvey,0,9,0,0,0,3,0,0,0,0,0,0,0,5,0,0,23
58,Irwin,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,20,3,0,0,0,178,3,0,0,0,0,0,17,25,0,0,250
61,Kalamunda,0,4,0,0,4,942,63,17,3,3,11,0,15,97,11,0,1165
62,Kalgoorlie-Boulder,0,5,0,0,0,15,7,0,0,0,11,3,0,20,0,0,63
63,Karratha,0,33,0,0,0,19,12,0,0,0,18,0,0,46,0,0,130
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kellerberrin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kondinin,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,15
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,3,6,0,0,0,562,14,0,3,0,0,4,0,56,3,0,657
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
73,Laverton,0,31,0,0,0,12,4,0,0,0,22,5,0,39,0,0,111
74,Leonora,0,10,0,0,4,13,3,0,0,0,18,0,0,31,0,0,90
75,Mandurah,5,0,0,0,0,108,7,0,0,0,0,0,0,3,0,0,128
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Meekatharra,0,17,0,0,5,12,3,0,0,0,3,4,0,10,0,0,47
78,Melville,44,83,0,0,10,2045,109,7,3,0,14,0,27,277,9,0,2631
79,Menzies,0,6,0,0,0,3,5,0,0,0,3,0,0,6,0,0,28
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,4,0,0,0,0,55,0,0,0,0,0,0,3,9,0,0,70
85,Mount Magnet,0,0,0,0,0,4,0,0,0,0,3,0,0,6,0,0,20
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,3,0,0,0,0,172,12,3,0,0,0,0,0,11,0,0,193
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,31,0,0,0,0,0,0,0,8,0,0,38
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3
94,Nedlands,10,5,0,0,0,258,10,0,0,0,0,0,7,45,0,0,339
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,36,0,0,0,0,0,0,0,3,0,0,42
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
100,Perenjori,0,3,0,0,0,3,4,0,0,0,4,0,0,3,0,0,19
101,Perth,2108,233,0,0,11,2358,213,4,30,10,65,6,638,662,19,0,6360
102,Pingelly,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
104,Port Hedland,0,6,0,0,0,31,7,0,0,0,21,4,0,21,0,0,97
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,19,0,0,0,3,4,0,0,0,0,0,0,5,0,0,31
107,Rockingham,8,4,0,0,0,357,23,0,0,0,3,0,3,40,0,0,438
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,5,0,0,0,0,241,23,3,0,0,0,0,0,23,0,0,296
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,19,8,0,0,0,549,22,0,0,3,6,0,16,76,5,0,713
112,Stirling,90,5,0,0,4,1218,44,3,0,0,14,0,63,103,10,0,1565
113,Subiaco,63,0,0,0,0,326,11,0,0,0,6,0,28,48,0,0,486
