,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,Armadale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ashburton,4,31,0,0,0,17,6,0,0,0,21,9,6,43,0,0,131
3,Augusta Margaret River,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
4,Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bayswater,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,6
6,Belmont,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,24
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,13,0,0,0,29,0,0,0,0,3,0,0,16,0,0,67
9,Boyup Brook,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
10,Bridgetown-Greenbushes,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,18
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,3,34,0,4,6,3617,187,21,8,12,8,3,58,517,20,0,4502
16,Busselton,0,0,0,0,0,61,6,0,0,0,0,0,3,11,0,0,80
17,Cambridge,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0
18,Canning,0,4,0,0,0,8,0,0,0,0,4,0,5,5,0,0,25
19,Capel,0,0,0,0,0,179,6,0,0,0,0,0,4,20,0,0,208
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Cockburn,0,3,0,0,0,16,0,0,0,0,0,0,7,0,0,0,30
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,43,0,0,0,470,64,0,0,0,0,0,7,137,3,0,724
29,Coolgardie,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
39,Dardanup,0,7,0,0,0,642,68,4,3,0,0,0,11,125,7,0,868
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,15
42,Donnybrook-Balingup,0,0,0,0,0,36,4,0,0,0,0,0,0,4,0,0,45
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
45,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
46,East Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,East Pilbara,0,38,0,0,0,28,5,0,0,0,32,10,4,63,0,0,189
48,Esperance,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Fremantle,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,16
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,8
