,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,16
1,Armadale,0,0,0,0,0,94,0,0,0,0,0,0,7,12,0,0,117
2,Ashburton,0,101,0,0,9,77,33,4,0,0,96,32,3,176,0,0,533
3,Augusta Margaret River,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,4,0,0,0,0,244,10,0,0,0,0,0,9,31,3,0,303
5,Bayswater,16,5,0,0,3,784,28,6,0,0,0,0,16,111,4,0,966
6,Belmont,19,12,0,0,10,1771,36,13,9,0,29,0,96,254,4,0,2263
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,16,4,0,0,0,0,0,0,13,0,0,37
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11
11,Brookton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,7,0,0,0,0,3,6,5,3,0,0,24
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,31,0,0,0,0,0,0,5,4,0,0,41
16,Busselton,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,19
17,Cambridge,80,3,0,0,0,850,25,0,3,0,0,0,44,186,0,0,1204
18,Canning,45,3,0,0,6,1264,32,12,4,4,16,0,55,107,7,0,1556
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,Carnarvon,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,33,6,0,0,0,0,0,7,11,0,0,60
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25,Claremont,18,0,0,0,0,283,5,0,0,0,0,0,6,45,0,0,359
26,Cockburn,33,3,18,0,0,620,18,8,9,3,7,4,38,81,4,0,835
