,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
1,Armadale,0,0,0,0,0,469,7,4,0,0,0,0,8,58,0,0,551
2,Ashburton,0,44,0,0,3,29,21,0,0,0,56,4,6,78,0,0,242
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,4,0,0,0,0,200,3,0,4,0,0,0,0,25,0,0,244
5,Bayswater,3,3,0,0,0,465,15,6,6,0,3,0,5,64,4,0,575
6,Belmont,3,37,0,0,10,1947,95,18,8,6,25,3,49,282,4,0,2502
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,6,0,0,0,15,0,0,0,0,0,0,0,9,0,0,28
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
12,Broome,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,11
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
15,Bunbury,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,6
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3
17,Cambridge,4,0,0,0,0,121,3,0,0,0,4,0,8,23,0,0,164
18,Canning,6,30,0,0,12,2206,106,17,5,3,19,0,29,170,7,0,2610
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,Claremont,0,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,29
26,Cockburn,3,0,0,0,4,525,20,3,4,0,4,4,12,69,0,0,648
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Coolgardie,0,9,0,0,0,5,0,0,0,0,0,0,0,3,0,0,20
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,9
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,0,15
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
46,East Fremantle,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
47,East Pilbara,0,84,0,0,4,46,29,4,0,0,33,15,5,117,0,0,345
48,Esperance,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
50,Fremantle,0,4,3,0,0,199,6,4,0,0,0,0,15,27,0,0,253
51,Gingin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,7,0,0,0,6,1002,35,11,3,0,0,0,11,130,4,0,1212
55,Greater Geraldton,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,11
56,Halls Creek,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,10
57,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,3,0,0,0,0,121,0,0,0,0,0,0,5,11,0,0,132
61,Kalamunda,8,42,5,0,13,3741,347,104,22,24,32,252,1263,751,26,0,6638
62,Kalgoorlie-Boulder,0,3,0,0,0,10,0,0,0,0,10,0,0,10,0,0,41
63,Karratha,4,14,0,0,3,15,0,0,0,0,5,0,3,28,0,0,77
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kondinin,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,14
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,0,0,0,0,0,144,0,0,0,0,0,0,3,20,0,0,174
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,15,0,0,0,6,6,0,0,0,12,0,5,24,0,0,63
74,Leonora,0,13,0,0,0,6,7,0,0,0,5,0,0,12,0,0,47
75,Mandurah,0,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,31
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Meekatharra,0,7,0,0,0,3,0,0,0,0,13,0,0,8,0,0,27
78,Melville,0,6,0,0,0,441,10,4,0,5,13,0,21,72,0,0,565
79,Menzies,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,10
80,Merredin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
85,Mount Magnet,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,8
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,3,4,0,0,470,19,4,0,0,6,0,5,60,0,0,579
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,15
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
94,Nedlands,0,0,0,0,0,137,0,0,0,0,0,0,9,41,0,0,188
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,41
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
100,Perenjori,0,6,0,0,0,0,0,0,0,0,3,0,0,6,0,0,14
101,Perth,292,321,0,0,7,1389,93,0,23,15,38,4,323,366,13,0,2890
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,0,0,0,0,22,4,0,0,0,7,0,0,15,0,0,50
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,6,0,0,0,5,0,0,0,0,0,0,0,5,0,0,9
107,Rockingham,0,0,0,0,0,64,5,0,0,0,0,0,4,18,0,0,78
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,44,4,0,0,0,0,0,0,3,0,0,49
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
111,South Perth,0,3,0,0,3,184,10,0,0,0,0,0,20,32,0,0,250
112,Stirling,5,4,0,0,0,745,24,6,4,0,3,0,43,79,0,0,916
113,Subiaco,11,0,0,0,0,224,0,0,0,0,0,0,18,38,0,0,290
114,Swan,3,44,0,0,13,2225,123,15,9,4,12,0,33,356,16,0,2858
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,3,17,0,0,7,816,39,0,3,0,6,0,38,107,4,0,1041
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
122,Vincent,16,4,0,0,0,261,7,0,0,0,3,0,17,33,0,0,346
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,0,0,0,0,0,223,9,4,0,0,0,0,11,20,0,0,261
126,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
130,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Wiluna,0,10,0,0,0,7,0,3,0,0,9,0,0,6,0,0,28
132,Wongan-Ballidu,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
136,Yalgoo,0,3,0,0,0,0,4,0,0,0,4,0,0,0,0,0,15
137,Yilgarn,0,4,0,0,0,9,0,0,0,0,0,0,0,3,0,0,24
138,York,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
139,No Fixed Address (WA),5,16,0,0,9,862,45,61,0,0,47,13,90,186,8,0,1345
140,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,20
141,Total,390,762,10,6,106,19639,1127,283,86,70,394,324,2080,3442,116,0,28829
