,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,4,0,0,0,0,302,14,0,0,0,0,0,7,51,3,0,385
2,Ashburton,3,55,0,0,8,21,17,0,0,0,24,9,0,52,0,0,185
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,23,5,3,0,0,0,0,0,3,0,0,43
5,Bayswater,7,0,0,0,0,69,5,0,0,0,0,0,0,11,0,0,98
6,Belmont,18,7,0,0,0,392,19,3,4,0,8,0,14,61,3,0,525
7,Beverley,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
8,Boddington,0,8,0,0,0,15,5,0,0,0,0,0,0,14,0,0,41
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
11,Brookton,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
12,Broome,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,Cambridge,22,0,0,0,0,48,4,0,0,0,0,0,3,3,0,0,85
18,Canning,30,3,0,0,9,1007,52,13,0,0,6,0,22,96,4,0,1245
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
