,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
1,Armadale,0,0,0,0,0,157,3,3,0,0,5,0,6,32,0,0,203
2,Ashburton,4,127,0,0,6,83,28,4,0,0,113,25,7,204,8,0,604
3,Augusta Margaret River,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11
4,Bassendean,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15
5,Bayswater,8,0,0,0,0,31,0,0,0,0,0,0,4,3,0,0,45
6,Belmont,9,9,0,0,0,265,18,6,0,0,18,0,18,107,3,0,456
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,44,0,0,0,151,10,0,0,0,6,8,11,80,5,0,311
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,9,0,0,0,3,4,4,0,3,0,0,31
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
15,Bunbury,0,0,0,0,0,115,5,0,0,0,0,0,4,12,3,0,138
16,Busselton,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,12
17,Cambridge,13,0,0,0,0,24,0,0,0,0,0,0,11,8,3,0,58
18,Canning,21,6,0,0,0,472,29,3,0,0,14,0,17,71,4,0,637
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21,Carnarvon,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,15
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
25,Claremont,4,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,22
26,Cockburn,42,6,6,0,0,893,49,4,0,0,9,3,27,95,0,0,1124
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,7,0,0,0,41,0,0,0,0,0,0,0,7,0,0,52
29,Coolgardie,0,7,0,0,3,21,6,0,0,0,9,0,0,21,0,0,66
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
32,Cottesloe,0,0,0,0,0,9,0,5,0,0,0,0,0,4,0,0,13
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,7,0,0,0,0,3,0,0,7,0,0,17
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37,Dalwallinu,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
38,Dandaragan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
39,Dardanup,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,16
40,Denmark,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
41,Derby-West Kimberley,0,7,0,0,0,3,4,0,0,0,0,3,0,10,0,0,26
42,Donnybrook-Balingup,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,11
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,7,0,0,0,6,0,0,0,0,11,0,0,8,0,0,31
46,East Fremantle,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
47,East Pilbara,3,137,0,0,3,105,61,4,0,0,173,33,10,277,9,0,822
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,15
50,Fremantle,12,0,0,0,0,179,9,0,0,0,3,0,13,37,0,0,259
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,8
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,5,0,0,0,0,152,8,0,0,0,0,0,4,18,0,0,189
55,Greater Geraldton,0,0,0,0,0,5,0,4,0,0,3,0,0,10,0,0,16
56,Halls Creek,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,8
57,Harvey,0,34,0,0,4,99,11,0,0,0,0,0,3,14,0,0,163
58,Irwin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,10,0,0,0,0,27,0,0,0,0,0,0,0,11,0,0,59
61,Kalamunda,0,0,0,0,0,66,0,6,0,0,0,0,3,13,0,0,89
62,Kalgoorlie-Boulder,4,9,0,0,0,30,3,0,0,0,16,0,0,37,0,0,105
63,Karratha,3,48,0,0,0,48,23,0,0,0,33,10,3,51,0,0,211
64,Katanning,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,10
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
68,Kondinin,0,6,0,0,0,4,0,0,0,0,5,0,0,6,0,0,26
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
71,Kwinana,4,5,0,0,0,889,30,0,3,0,4,0,22,135,4,0,1099
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,31,0,0,0,29,24,3,0,0,47,7,4,77,3,0,225
74,Leonora,5,20,0,0,0,23,13,0,0,0,20,4,0,49,3,0,134
75,Mandurah,41,264,0,5,58,11361,1058,82,36,87,83,296,1446,2307,88,0,17211
76,Manjimup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
77,Meekatharra,0,9,0,0,0,10,6,0,0,0,14,0,0,17,0,0,61
78,Melville,87,5,0,0,0,266,13,6,0,0,0,0,28,80,4,0,480
79,Menzies,0,21,0,0,0,5,3,0,0,0,6,0,0,12,0,0,45
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
