,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
1,Armadale,0,4,0,0,0,398,10,3,0,0,0,0,11,42,0,0,467
2,Ashburton,0,34,0,0,0,25,12,0,0,0,26,13,10,55,0,0,178
3,Augusta Margaret River,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,12
4,Bassendean,3,0,0,0,0,76,0,0,0,0,0,0,4,9,0,0,97
5,Bayswater,5,4,0,0,0,243,4,0,0,0,0,0,14,35,0,0,300
6,Belmont,12,20,0,0,7,1147,34,6,3,11,8,0,68,165,0,0,1478
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,5,0,0,0,19,0,0,0,0,0,0,0,4,0,0,35
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10,Bridgetown-Greenbushes,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,15,3,0,0,0,3,3,9,3,0,0,34
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,3,0,0,0,19,0,0,0,0,0,0,0,3,0,0,29
16,Busselton,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,16
17,Cambridge,29,0,0,0,0,309,11,0,0,3,0,0,23,47,0,0,423
18,Canning,20,56,0,0,7,2422,134,7,4,12,16,4,73,337,7,0,3098
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
25,Claremont,11,5,0,0,0,307,8,0,0,0,5,0,4,35,0,0,381
26,Cockburn,35,24,9,0,11,2941,161,3,13,21,10,4,63,337,4,0,3636
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14
29,Coolgardie,0,0,0,0,0,6,5,0,0,0,0,0,0,4,0,0,10
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,8,3,0,0,0,130,0,0,0,0,0,0,3,13,0,0,166
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
41,Derby-West Kimberley,0,4,0,0,0,3,0,0,0,0,0,0,0,6,0,0,16
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
