,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
1,Armadale,0,0,0,0,0,83,0,4,0,0,0,0,0,19,0,0,111
2,Ashburton,0,28,0,0,0,30,7,0,0,0,26,9,0,68,0,0,173
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,201,14,0,0,0,0,0,9,22,0,0,251
5,Bayswater,10,0,0,0,0,311,11,0,0,0,0,0,3,38,0,0,372
6,Belmont,0,5,0,0,0,848,32,9,5,0,8,0,31,141,10,0,1110
7,Beverley,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
8,Boddington,0,3,0,0,0,13,0,0,0,0,0,0,0,3,0,0,25
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
15,Bunbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
16,Busselton,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
17,Cambridge,3,0,0,0,0,58,3,0,0,0,0,0,9,8,0,0,82
18,Canning,4,0,0,0,0,748,30,5,4,0,11,0,24,56,7,0,887
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,16
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,3,0,0,0,0,22,0,0,0,0,0,0,0,8,0,0,29
26,Cockburn,4,0,0,0,0,191,4,0,0,0,5,0,7,20,0,0,232
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
29,Coolgardie,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17
30,Coorow,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11
36,Cunderdin,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,14
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
46,East Fremantle,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
47,East Pilbara,0,45,0,0,4,25,12,0,0,0,41,12,4,93,6,0,252
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
