,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
1,Armadale,10,0,0,0,0,55,0,0,0,0,0,3,0,9,0,0,77
2,Ashburton,0,26,0,0,6,12,11,4,0,0,25,14,3,30,0,0,131
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
4,Bassendean,9,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,36
5,Bayswater,13,20,0,0,0,130,16,0,0,0,0,6,6,22,0,0,221
6,Belmont,7,69,0,0,5,328,30,3,0,0,9,3,21,61,5,0,537
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,21
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0,0,16
16,Busselton,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,22
17,Cambridge,16,27,0,0,4,115,8,0,0,5,0,11,7,22,0,0,221
18,Canning,33,17,0,0,0,308,24,0,0,0,5,0,15,30,5,0,447
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,6
24,Christmas Island,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,Claremont,31,30,0,0,0,89,16,0,0,0,0,4,5,42,0,0,213
26,Cockburn,20,9,0,0,0,180,6,5,0,0,3,0,13,20,0,0,262
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
29,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,10,5,0,0,0,30,0,0,0,0,0,0,0,13,0,0,61
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Dalwallinu,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
38,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Dardanup,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,7
42,Donnybrook-Balingup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
46,East Fremantle,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14
47,East Pilbara,0,29,0,0,7,26,11,0,0,0,33,19,0,35,3,0,163
48,Esperance,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Fremantle,61,10,0,0,0,110,8,0,4,0,0,0,6,53,4,0,256
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,15,0,0,0,0,66,10,0,0,0,0,0,6,12,0,0,111
55,Greater Geraldton,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,13
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,45,0,0,0,4,142,4,0,0,0,0,5,7,32,0,0,228
61,Kalamunda,0,3,0,0,0,62,0,0,0,0,0,0,3,6,0,0,76
62,Kalgoorlie-Boulder,0,0,0,0,0,6,5,0,0,0,3,3,4,5,0,0,24
63,Karratha,0,4,0,0,0,15,6,0,0,0,4,0,0,14,0,0,52
64,Katanning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Kellerberrin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Kojonup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Kondinin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Koorda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Kulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Kwinana,0,0,0,0,0,40,0,0,3,0,0,0,0,7,0,0,56
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,6,0,0,0,3,3,0,0,0,8,0,0,17,0,0,35
74,Leonora,0,7,0,0,0,3,3,0,0,0,3,3,0,7,0,0,41
75,Mandurah,5,0,0,0,0,8,3,0,0,0,0,0,0,4,0,0,18
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
77,Meekatharra,0,0,0,0,0,0,0,0,0,0,6,5,0,10,0,0,15
78,Melville,62,26,0,0,0,274,11,3,0,0,0,0,7,48,0,0,442
79,Menzies,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,14
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,34
85,Mount Magnet,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,24
89,Murchison,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
90,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Nedlands,4,50,0,0,0,192,8,0,4,11,0,29,13,45,4,0,371
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,4,3,0,0,0,8,3,0,0,0,0,0,0,0,0,0,16
100,Perenjori,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8
101,Perth,148,2259,4,0,89,960,257,0,36,141,108,2461,978,655,31,0,8129
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,0,0,0,3,12,0,0,0,0,3,4,0,12,0,0,36
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
107,Rockingham,6,0,0,0,0,43,6,0,0,0,0,0,3,6,0,0,61
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,7,32,10,0,5,113,11,0,0,6,0,0,3,25,0,0,214
112,Stirling,64,54,0,0,15,556,47,0,5,4,5,3,22,90,6,0,867
113,Subiaco,65,54,0,0,3,238,25,0,0,13,5,23,25,39,0,0,486
114,Swan,38,8,0,0,0,250,16,0,4,0,0,0,11,41,6,0,374
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,42,86,0,0,8,260,25,0,0,14,6,13,14,66,0,0,542
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vincent,49,131,0,0,12,230,41,0,4,21,4,72,17,72,10,0,655
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,17,6,0,0,4,132,6,0,5,0,0,6,8,11,0,0,185
126,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Wiluna,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15
132,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
136,Yalgoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
137,Yilgarn,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
138,York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,No Fixed Address (WA),30,29,0,0,7,211,10,5,3,20,44,28,57,92,5,0,539
140,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,14
141,Total,808,3036,12,0,185,5391,652,24,81,243,312,2730,1255,1714,82,0,16521
