,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,7,0,0,0,0,0,0,3,4,0,0,16
1,Armadale,3,0,0,0,0,622,25,0,0,0,5,3,13,86,0,0,753
2,Ashburton,5,199,0,0,10,104,48,3,0,0,115,29,8,301,6,0,834
3,Augusta Margaret River,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
4,Bassendean,3,0,0,0,0,53,0,3,0,0,0,0,3,4,0,0,75
5,Bayswater,10,0,0,0,0,97,7,0,0,0,0,0,5,17,0,0,135
6,Belmont,18,10,3,0,0,826,26,11,8,0,28,6,56,181,3,0,1171
7,Beverley,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
8,Boddington,0,20,0,0,0,74,10,0,0,0,4,0,3,44,0,0,159
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,6,0,0,0,0,0,3,4,4,0,0,20
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,5,0,0,0,39,3,0,0,0,0,0,3,6,0,0,62
16,Busselton,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,13
17,Cambridge,46,0,0,0,0,62,0,0,0,0,0,0,17,18,0,0,150
18,Canning,44,9,0,0,5,1667,88,12,7,0,30,0,50,162,12,0,2075
19,Capel,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
20,Carnamah,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,9
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
25,Claremont,3,0,0,0,0,31,5,0,0,0,0,0,3,5,0,0,54
26,Cockburn,75,37,3,0,8,4242,181,23,11,0,20,3,86,427,29,0,5152
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,23
29,Coolgardie,0,18,0,0,0,6,7,0,0,0,10,4,0,24,0,0,72
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
32,Cottesloe,4,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,41
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,7,0,0,0,0,4,0,0,0,0,0,0,14,0,0,29
