,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10
1,Armadale,0,26,0,0,0,1509,99,7,0,0,3,0,21,258,9,0,1938
2,Ashburton,0,39,0,0,0,24,7,4,0,0,18,7,0,59,0,0,166
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,41
5,Bayswater,0,0,0,0,0,91,0,0,0,0,0,0,4,12,0,0,112
6,Belmont,5,4,0,0,0,532,14,12,0,0,10,4,14,79,6,0,670
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,5,0,0,0,31,3,0,0,0,0,0,0,18,0,0,58
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10
16,Busselton,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
17,Cambridge,0,0,0,0,0,31,0,0,0,0,0,0,8,6,0,0,49
18,Canning,16,0,0,0,7,1065,65,22,6,0,14,0,23,117,0,0,1339
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9
26,Cockburn,7,0,4,0,0,997,32,19,0,0,3,0,18,98,7,0,1185
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Coolgardie,0,0,0,0,0,7,5,0,0,0,3,0,0,3,0,0,20
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
