,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,Armadale,0,0,0,0,0,127,10,0,0,0,0,0,0,8,0,0,152
2,Ashburton,0,22,0,0,0,14,7,0,0,0,15,0,0,17,0,0,82
3,Augusta Margaret River,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,8
4,Bassendean,3,0,0,0,0,48,6,0,0,0,0,0,0,4,3,0,62
5,Bayswater,9,0,0,0,0,191,3,0,0,0,0,0,4,21,0,0,231
6,Belmont,0,25,0,0,6,767,21,5,3,8,13,4,29,119,0,0,995
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,Boddington,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,10
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,16
16,Busselton,0,0,0,0,0,8,0,0,0,0,0,0,4,3,0,0,13
17,Cambridge,9,6,0,0,0,181,10,0,3,0,0,0,12,33,0,0,264
18,Canning,12,34,0,0,9,1106,48,3,3,8,4,5,33,150,4,0,1419
19,Capel,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,10
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,4,17,0,0,6,136,6,0,0,0,0,0,3,17,0,0,175
26,Cockburn,16,12,0,0,0,531,19,0,0,8,5,3,18,62,3,0,676
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
29,Coolgardie,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,0,0,0,0,0,47,0,0,0,0,0,0,5,8,0,0,66
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
35,Cue,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
36,Cunderdin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
37,Dalwallinu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Dandaragan,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
43,Dowerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
46,East Fremantle,0,5,0,0,0,24,0,0,0,0,0,0,0,6,0,0,44
47,East Pilbara,0,21,0,0,5,22,12,0,0,0,24,6,0,35,0,0,126
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
50,Fremantle,0,21,0,0,0,306,18,0,0,0,0,0,30,51,7,0,440
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Gosnells,3,0,0,0,0,261,8,0,0,0,0,0,3,36,0,0,323
55,Greater Geraldton,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,10
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
57,Harvey,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,7
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
