,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albury,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17
1,Armidale Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ballina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,Balranald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bathurst Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,Bayside (NSW),0,0,0,0,5,41,7,0,0,0,6,5,24,37,0,0,120
6,Bega Valley,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
7,Bellingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Berrigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blacktown,0,0,0,0,0,31,0,0,0,0,0,0,29,5,0,0,61
10,Bland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Blayney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Blue Mountains,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
13,Bogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,Bourke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Brewarrina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Broken Hill,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8
17,Burwood,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
18,Byron,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,7
19,Cabonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Camden,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
21,Campbelltown (NSW),0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,18
22,Canada Bay,0,0,0,0,0,21,0,0,0,0,0,0,19,0,0,0,39
23,Canterbury-Bankstown,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,26
24,Carrathool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Central Coast (NSW),0,0,0,0,0,15,0,0,0,0,0,0,22,7,0,0,41
26,Central Darling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Cessnock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Clarence Valley,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8
29,Cobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Coffs Harbour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Coolamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Coonamble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
33,Cootamundra-Gundagai Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cowra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cumberland,0,0,0,0,0,11,0,0,0,0,0,0,15,0,0,0,24
36,Dubbo Regional,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8
37,Dungog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Edward River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
39,Eurobodalla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
40,Fairfield,0,0,0,0,0,10,0,0,0,0,0,0,4,4,0,0,16
41,Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Georges River,5,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,16
44,Gilgandra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Glen Innes Severn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Goulburn Mulwaree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Greater Hume Shire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Griffith,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,7
49,Gunnedah,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
50,Gwydir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Hawkesbury,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,8
52,Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Hilltops,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5
54,Hornsby,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,23
55,Hunters Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Inner West,0,0,0,0,0,10,0,0,0,0,0,4,10,0,0,0,25
57,Inverell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Junee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Kempsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Kiama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
