,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,11,0,0,0,0,146,6,0,0,0,0,0,5,22,0,0,186
2,Ashburton,0,25,0,0,3,15,9,0,0,0,26,8,3,33,0,0,125
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,5,0,0,0,0,58,0,0,0,0,0,0,0,6,0,0,73
5,Bayswater,12,8,0,0,0,222,11,0,0,4,0,0,0,25,0,0,285
6,Belmont,0,63,0,0,7,988,68,4,4,20,11,9,45,171,4,0,1388
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,5,0,0,0,0,4,0,3,0,0,0,14
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18
16,Busselton,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,14
17,Cambridge,20,8,0,0,0,159,3,0,0,4,0,0,8,19,0,0,218
18,Canning,29,65,0,0,12,1131,73,3,8,15,9,10,32,153,4,0,1540
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
