,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
1,Armadale,5,0,0,0,0,54,0,0,0,0,0,0,0,6,0,0,70
2,Ashburton,0,16,0,0,0,13,14,0,0,0,21,14,3,29,0,0,108
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,4,0,0,0,0,66,3,0,0,0,0,0,0,6,0,0,79
5,Bayswater,6,28,0,0,0,297,14,0,0,4,3,0,11,48,0,0,416
6,Belmont,6,7,0,0,13,478,22,0,0,4,4,0,33,74,4,0,649
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Boddington,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
16,Busselton,0,0,0,0,0,8,3,0,0,0,0,0,3,4,0,0,18
17,Cambridge,13,21,0,0,5,352,36,0,3,27,0,18,13,72,4,0,556
18,Canning,27,5,0,0,0,428,10,0,4,0,4,0,12,49,4,0,541
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Claremont,30,3,0,0,0,124,3,0,0,0,0,0,0,26,0,0,194
26,Cockburn,12,3,0,0,0,250,0,0,0,0,0,0,10,15,0,0,300
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
29,Coolgardie,0,0,0,0,0,3,0,0,0,0,6,0,0,5,0,0,11
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
