,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
1,Armadale,4,0,0,0,0,123,9,6,0,0,0,0,6,14,0,0,158
2,Ashburton,3,159,0,0,8,101,41,13,0,5,148,41,13,333,6,0,873
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,Bassendean,6,0,0,0,0,389,27,3,0,0,0,0,6,42,0,0,469
5,Bayswater,28,17,0,0,3,1374,78,8,0,0,5,0,16,143,10,0,1691
6,Belmont,35,44,0,0,17,2456,92,21,9,0,47,3,94,414,5,0,3245
7,Beverley,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
8,Boddington,0,3,0,0,0,40,0,0,0,0,4,0,0,19,0,0,69
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,12,3,0,0,0,3,0,4,5,0,0,25
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
15,Bunbury,0,0,0,0,0,28,0,0,0,0,3,0,5,5,0,0,42
16,Busselton,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,19
17,Cambridge,87,0,0,0,0,753,24,4,0,0,3,0,52,124,4,0,1050
18,Canning,58,13,0,0,11,1793,75,24,8,3,25,0,59,169,8,0,2244
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,17
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,102,7,0,0,0,0,0,6,16,0,0,131
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,Claremont,21,0,0,0,0,153,10,0,0,0,0,0,3,31,0,0,222
26,Cockburn,29,0,13,3,5,667,37,4,4,0,8,10,33,73,0,0,883
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,11
29,Coolgardie,0,5,0,0,4,9,10,0,0,0,17,0,0,13,0,0,66
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31,Corrigin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Cottesloe,3,0,0,0,0,72,5,0,0,0,0,0,6,11,0,0,97
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,8,0,0,0,4,5,0,0,0,10,0,0,8,0,0,38
36,Cunderdin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37,Dalwallinu,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
38,Dandaragan,0,0,0,0,0,31,3,0,0,0,0,0,3,12,0,0,50
