,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,5,0,0,0,311,24,13,0,0,4,18,179,74,3,0,627
1,510222145,3,24,0,0,0,849,118,6,6,8,6,15,217,223,8,0,1483
2,510232133,0,3,0,0,7,789,34,4,0,6,6,3,37,175,13,0,1074
3,510232134,6,9,0,0,4,512,45,6,0,3,4,16,70,81,3,0,758
4,510232135,5,3,0,0,6,928,74,15,5,7,5,13,7,135,6,0,1208
5,510242137,4,38,0,0,8,1229,120,13,0,13,8,39,247,285,5,0,2009
6,510242143,4,0,0,0,0,256,24,3,0,0,3,7,63,65,3,0,437
7,510252132,3,15,0,0,3,1100,81,9,4,12,5,21,31,149,10,0,1443
8,510252136,3,23,0,0,4,696,68,0,6,14,0,33,83,170,10,0,1106
9,510252138,0,5,0,0,3,467,26,6,0,4,6,12,12,61,7,0,604
10,510252139,0,5,0,0,3,429,61,0,3,6,7,17,13,110,0,0,649
11,510252140,0,3,0,0,3,557,35,3,0,3,4,4,26,65,5,0,701
12,510252141,0,74,0,0,4,678,132,0,4,6,9,31,3,257,7,0,1206
13,510252147,3,11,0,0,4,694,60,0,4,0,4,13,24,111,4,0,931
14,510262172,0,0,0,0,0,73,4,0,0,0,0,0,0,4,0,0,83
15,510262174,0,0,0,0,0,77,7,0,0,0,0,0,0,20,0,0,109
16,510272130,5,17,0,0,10,1219,141,11,5,3,12,41,287,257,10,0,2036
17,510282142,0,8,0,0,0,143,10,0,0,0,0,3,37,28,0,0,223
18,510282144,0,4,0,0,6,501,21,6,0,0,0,12,106,70,4,0,734
19,510292171,0,7,0,0,0,519,17,0,0,0,3,0,11,101,3,0,656
20,510292173,0,0,0,0,0,463,6,0,0,0,0,0,7,128,5,0,610
21,510292175,0,0,0,0,0,113,4,0,3,0,0,0,0,16,0,0,135
22,510292177,0,0,0,0,0,174,10,0,0,0,0,0,0,22,0,0,220
23,510301001,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
24,510301014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25,510311126,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
26,510311132,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9
27,510311143,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
28,510311144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
