,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,510212146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,510222145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,510232133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,510232134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,510232135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,510242137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,510242143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,510252132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
8,510252136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,510252138,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
10,510252139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,510252140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,510252141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,510252147,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14,510262172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,510262174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,510272130,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
17,510282142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,510282144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,510292171,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
20,510292173,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
21,510292175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,510292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,510301001,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
24,510301014,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,15
25,510311126,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,22
26,510311132,3,0,0,0,0,38,3,0,0,0,0,0,0,3,0,0,46
27,510311143,0,0,0,0,0,27,0,0,0,0,0,0,0,4,0,0,34
28,510311144,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13
29,510311149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,510321145,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
31,510321147,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,17
32,510321161,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11
33,510331015,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,26
34,510331019,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,17
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
36,510341158,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,17
37,510341163,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,24
38,510341165,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,35
39,510341168,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
40,510351121,0,0,0,0,0,74,0,0,0,0,0,0,0,16,0,0,93
41,510351122,55,18,0,0,0,386,21,0,5,0,0,0,7,109,0,0,604
42,510351129,0,0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,21
43,510351130,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,45
44,510351133,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,35
45,510351135,8,4,0,0,0,68,3,0,0,0,0,0,5,7,0,0,100
46,510351137,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21
47,510351140,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
48,510351151,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
49,510351154,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12
50,510361068,6,0,0,0,0,88,0,0,0,0,0,0,3,9,0,0,107
51,510361089,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,15
52,510361113,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20
53,510361127,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
54,510371082,6,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,25
55,510381004,0,0,0,0,0,37,3,0,0,0,0,0,0,5,0,0,49
56,510381006,0,0,0,0,0,45,0,0,0,0,0,0,0,5,0,0,52
57,510381010,0,0,0,0,0,57,4,0,0,0,0,0,5,0,0,0,72
58,510381011,3,0,0,0,0,26,0,0,0,0,0,0,0,4,0,0,29
59,510381020,18,4,0,0,0,57,5,0,0,0,0,0,8,15,0,0,105
60,510381026,5,0,0,0,0,66,6,0,0,0,0,0,14,9,0,0,105
61,510391012,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,37
62,510391017,4,0,0,0,0,22,7,0,0,0,0,0,0,3,0,0,40
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
64,510391373,0,3,0,0,0,89,6,0,0,0,0,0,0,16,0,0,122
65,510391383,0,0,0,0,0,42,0,0,0,0,0,0,0,5,0,0,50
66,510391384,0,4,0,0,0,57,0,0,3,0,0,0,9,3,0,0,80
67,510391389,0,6,0,0,0,21,0,0,0,0,0,0,0,4,0,0,29
68,510391394,0,0,0,0,0,56,3,0,0,0,0,0,0,0,0,0,67
69,510391397,0,0,0,0,0,77,8,0,0,0,0,0,0,15,0,0,105
70,510401002,0,0,0,0,0,36,3,0,0,0,0,0,0,7,0,0,47
71,510401003,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14
72,510401008,0,0,0,0,0,27,0,0,0,0,0,0,5,3,0,0,39
73,510401009,0,0,0,0,0,45,0,0,0,0,0,0,0,3,0,0,48
74,510401013,0,0,0,0,0,45,0,0,0,0,0,0,0,5,0,0,58
75,510420001,31,0,0,0,0,118,3,0,0,0,0,0,9,11,0,0,164
76,510421040,4,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,33
77,510421042,6,3,0,0,0,50,3,0,0,0,0,0,4,10,0,0,80
78,510421043,4,0,0,0,0,41,0,0,0,0,0,0,4,4,0,0,53
79,510421046,21,3,0,0,0,108,4,0,0,0,4,0,33,18,0,0,193
80,510421059,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
81,510421060,8,0,0,0,0,89,4,0,0,0,0,0,3,10,0,0,113
82,510421072,14,0,0,0,0,110,0,0,0,0,0,0,0,33,0,0,168
83,510421074,5,0,0,0,0,47,0,0,0,0,0,0,0,5,0,0,62
84,510421110,0,0,0,0,0,16,0,0,0,0,0,0,3,5,0,0,26
