Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"LGA (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"LGA (UR)",
"Albany",4207,4995,3702,4277,4518,5226,5395,4076,1934,422,14,38763,
"Armadale",15349,12150,11703,16417,12597,10201,8266,5198,1983,317,7,94184,
"Ashburton",1329,653,996,1759,1165,917,458,97,9,4,0,7391,
"Augusta Margaret River",2188,2046,1193,2316,2677,2242,2216,1334,470,106,0,16791,
"Bassendean",1925,1609,1889,2530,2195,2052,1801,1215,579,135,6,15932,
"Bayswater",7625,6564,9528,12168,9320,8270,7229,5319,2610,647,14,69283,
"Belmont",4792,3762,7212,8088,5428,4797,3977,2476,1374,344,4,42257,
"Beverley",150,121,99,162,179,242,354,272,100,17,0,1694,
"Boddington",253,191,142,206,212,284,222,137,45,0,0,1705,
"Boyup Brook",233,196,129,182,224,282,271,210,90,14,0,1834,
"Bridgetown-Greenbushes",506,615,334,449,638,790,948,701,220,40,0,5238,
"Brookton",122,72,62,87,106,162,113,119,67,16,0,929,
"Broome",2645,2306,2203,3072,2390,2180,1464,536,143,18,0,16959,
"Broomehill-Tambellup",150,130,98,120,126,169,145,73,37,4,0,1046,
"Bruce Rock",110,109,92,97,114,127,163,115,54,5,0,979,
"Bunbury",3520,3684,3852,4192,4077,4329,4345,3154,1453,369,12,32987,
"Busselton",4666,5231,3078,4644,5454,5290,5522,4548,1825,382,7,40640,
"Cambridge",3340,4294,2810,3289,4166,4052,3156,2061,1275,407,10,28876,
"Canning",11134,12196,15399,14511,12953,10793,9226,6311,2714,602,25,95860,
"Capel",2442,2969,1739,2188,2615,2577,2014,1268,308,44,0,18175,
"Carnamah",55,35,57,74,76,69,101,64,10,5,0,552,
"Carnarvon",650,579,667,689,642,785,697,379,139,25,0,5251,
"Chapman Valley",193,223,108,165,240,272,201,121,24,0,0,1556,
"Chittering",650,876,488,609,792,1051,798,493,162,25,0,5930,
"Christmas Island",186,153,210,339,226,261,193,96,16,4,0,1692,
"Claremont",947,1683,1373,1175,1297,1442,1226,1176,732,228,11,11284,
"Cockburn",15645,13827,15669,19582,16841,14565,11175,6993,3129,660,15,118091,
"Cocos Islands",86,56,76,81,55,80,86,57,18,0,0,593,
"Collie",1013,1090,899,931,1005,1246,1311,938,316,63,0,8812,
"Coolgardie",461,438,431,468,474,546,434,187,34,0,0,3478,
"Coorow",100,61,71,108,103,137,251,179,48,3,0,1055,
"Corrigin",127,73,106,111,116,119,169,113,63,10,0,1007,
"Cottesloe",748,1064,931,836,895,1213,1028,841,314,101,5,7970,
"Cranbrook",131,123,87,115,147,157,171,117,39,0,0,1100,
"Cuballing",73,97,83,71,108,153,164,111,30,5,0,902,
"Cue",3,6,36,24,30,32,45,39,4,0,0,215,
"Cunderdin",175,231,130,153,141,142,171,106,39,8,0,1302,
"Dalwallinu",203,142,150,199,187,183,165,78,49,8,0,1379,
"Dandaragan",326,258,292,373,381,482,653,418,156,13,0,3355,
"Dardanup",2008,1827,1555,1939,1819,1908,1668,1234,596,134,3,14686,
"Denmark",664,816,251,580,760,936,1081,873,289,46,0,6310,
"Derby-West Kimberley",1118,973,1154,1178,881,841,613,236,62,18,0,7075,
"Donnybrook-Balingup",672,676,435,631,724,930,1073,730,240,45,4,6155,
