Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"LGA (UR) by 1-digit level EETP Engagement in Employment, Education and Training"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"1-digit level EETP Engagement in Employment, Education and Training","Fully engaged","Partially engaged","At least partially engaged","Not engaged","Engagement status undetermined/not stated","Not applicable","Total",
"LGA (UR)",
"Albany",11814,5799,1160,10906,2295,6798,38763,
"Armadale",34166,11815,2384,19613,4116,22087,94184,
"Ashburton",2986,538,411,569,1162,1727,7391,
"Augusta Margaret River",4964,3034,698,3545,1125,3423,16791,
"Bassendean",6046,2210,360,3736,777,2799,15932,
"Bayswater",28177,9440,1690,16035,2910,11024,69283,
"Belmont",17466,5197,1122,9069,2679,6725,42257,
"Beverley",406,219,72,593,203,204,1694,
"Boddington",519,201,86,392,135,375,1705,
"Boyup Brook",542,233,76,460,158,361,1834,
"Bridgetown-Greenbushes",1448,765,180,1617,354,867,5238,
"Brookton",254,118,31,285,70,161,929,
"Broome",6034,1635,585,2729,1984,3994,16959,
"Broomehill-Tambellup",337,128,31,217,105,228,1046,
"Bruce Rock",314,102,15,234,140,181,979,
"Bunbury",10258,4415,916,9540,2411,5449,32987,
"Busselton",12102,6441,1377,10956,2143,7621,40640,
"Cambridge",11770,4121,591,5924,811,5652,28876,
"Canning",39516,12700,2040,20614,3591,17402,95860,
"Capel",6659,2523,591,3596,775,4029,18175,
"Carnamah",178,63,19,145,75,76,552,
"Carnarvon",1624,555,195,1138,764,973,5251,
"Chapman Valley",547,189,58,279,156,327,1556,
"Chittering",2150,757,220,1282,415,1109,5930,
"Christmas Island",605,142,55,180,419,285,1692,
"Claremont",4465,1446,211,2898,492,1776,11284,
"Cockburn",48019,16250,3194,23169,4483,22972,118091,
"Cocos Islands",178,79,3,129,82,130,593,
"Collie",2339,1070,274,2907,649,1571,8812,
"Coolgardie",1038,285,137,679,652,690,3478,
"Coorow",286,127,36,338,132,132,1055,
"Corrigin",374,131,30,242,53,173,1007,
"Cottesloe",3181,1191,188,1829,332,1252,7970,
"Cranbrook",355,146,42,244,95,215,1100,
"Cuballing",278,126,27,254,73,142,902,
"Cue",85,16,7,66,29,4,215,
"Cunderdin",480,146,41,286,84,260,1302,
"Dalwallinu",510,157,26,209,178,298,1379,
"Dandaragan",1011,479,134,939,328,471,3355,
"Dardanup",4907,2048,483,3480,780,2991,14686,
"Denmark",1594,1029,204,1890,507,1084,6310,
"Derby-West Kimberley",1567,407,194,2206,1089,1609,7075,
"Donnybrook-Balingup",1845,853,237,1836,361,1024,6155,
"Dowerin",226,90,15,172,56,152,715,
"Dumbleyung",213,86,20,114,101,136,681,
"Dundas",183,55,28,199,131,74,677,
"East Fremantle",3072,1147,177,1742,300,1374,7819,
"East Pilbara",4007,542,433,1012,2188,1578,9760,
"Esperance",4576,1736,516,3108,1230,2720,13883,
"Exmouth",1197,435,146,498,255,562,3085,
"Fremantle",11990,4909,893,7699,1863,4575,31930,
"Gingin",1650,753,249,1687,440,794,5576,
"Gnowangerup",444,160,30,230,85,261,1215,
"Goomalling",289,137,28,234,101,166,955,
"Gosnells",46527,15570,2950,28462,6601,26265,126376,
"Greater Geraldton",12761,5170,1134,9288,3274,7863,39489,
"Halls Creek",646,198,90,1368,385,890,3574,
"Harvey",9801,3722,886,6894,1308,5963,28567,
"Irwin",951,467,125,1217,369,551,3680,
"Jerramungup",402,173,35,213,91,252,1160,
"Joondalup",62622,23439,4167,35337,4589,29848,160003,
"Kalamunda",21804,7799,1583,13906,2307,11358,58762,
"Kalgoorlie-Boulder",12294,2783,891,4173,2679,6492,29306,
"Karratha",8838,1919,818,1981,3003,5642,22199,
"Katanning",1319,506,121,973,357,782,4057,
"Kellerberrin",333,133,34,368,123,147,1138,
"Kent",209,49,17,53,40,120,491,
"Kojonup",621,295,85,386,144,372,1901,
"Kondinin",320,109,36,143,89,145,847,
"Koorda",129,47,13,90,16,64,361,
"Kulin",282,105,31,124,71,163,769,
"Kwinana",16427,5531,1254,9094,3147,10410,45867,
"Lake Grace",560,173,41,161,79,251,1265,
"Laverton",420,66,58,208,450,133,1333,
"Leonora",548,82,61,180,460,265,1588,
"Mandurah",25507,11004,2675,30343,5094,15677,90306,
"Manjimup",2867,1370,324,2405,653,1484,9093,
"Meekatharra",392,59,55,232,290,174,1200,
"Melville",40227,14404,2161,25403,3418,17909,103523,
"Menzies",216,19,15,88,158,29,524,
"Merredin",990,389,103,725,325,588,3119,
"Mingenew",135,40,12,81,62,78,407,
"Moora",778,289,68,494,225,437,2292,
"Morawa",194,56,12,151,98,147,660,
"Mosman Park",3533,1322,176,2127,454,1549,9169,
"Mount Magnet",143,21,16,103,244,122,653,
"Mount Marshall",184,50,14,91,38,79,459,
"Mukinbudin",208,62,24,115,57,121,579,
"Mundaring",13431,5199,1166,9350,3478,6535,39166,
"Murchison",35,4,0,24,6,32,101,
"Murray",5169,2176,568,5612,1262,3275,18068,
"Nannup",364,243,52,497,178,208,1538,
"Narembeen",259,92,12,161,111,153,787,
"Narrogin",1571,618,125,1188,457,827,4779,
"Nedlands",8853,3114,386,4969,618,4202,22132,
"Ngaanyatjarraku",173,76,29,667,124,293,1358,
"Northam",3312,1328,284,3106,1271,2061,11358,
"Northampton",760,449,140,1017,378,482,3227,
"Nungarin",75,29,10,54,53,33,255,
"Peppermint Grove",686,211,20,365,46,264,1597,
"Perenjori",241,58,24,52,171,84,629,
"Perth",15631,2926,683,4591,2631,1999,28463,
"Pingelly",258,126,29,402,59,169,1037,
"Plantagenet",1526,725,220,1455,563,903,5388,
"Port Hedland",6265,1181,652,1756,1950,3879,15684,
"Quairading",204,90,17,290,213,149,961,
"Ravensthorpe",699,232,96,476,181,392,2085,
"Rockingham",47791,16478,4108,30859,7007,29431,135678,
"Sandstone",23,14,8,26,35,0,109,
"Serpentine-Jarrahdale",11961,4094,1044,5489,1565,8017,32173,
"Shark Bay",333,112,43,238,145,169,1031,
"South Perth",18826,5764,911,9655,2024,6226,43405,
"Stirling",91370,31189,5506,50183,9851,38268,226369,
"Subiaco",7257,2390,317,3779,802,2726,17267,
"Swan",59054,19721,4195,30051,6729,33231,152974,
"Tammin",111,58,11,89,46,75,386,
"Three Springs",188,55,16,126,69,120,575,
"Toodyay",1311,565,152,1462,480,627,4601,
"Trayning",90,30,14,92,41,26,298,
"Upper Gascoyne",43,12,5,52,11,45,170,
"Victoria Park",16544,4701,879,7034,2578,5157,36889,
"Victoria Plains",289,118,27,156,82,136,802,
"Vincent",17599,4972,878,6042,1805,5245,36537,
"Wagin",460,232,82,531,173,282,1761,
"Wandering",184,53,18,115,91,79,535,
"Wanneroo",79730,28518,5875,40784,8089,46118,209111,
"Waroona",1171,533,181,1322,331,697,4234,
"West Arthur",257,121,18,163,76,137,773,
"Westonia",87,25,8,63,29,46,248,
"Wickepin",205,90,30,138,89,138,690,
"Williams",375,137,43,154,94,220,1021,
"Wiluna",173,24,15,95,151,85,535,
"Wongan-Ballidu",436,177,42,301,97,243,1297,
"Woodanilling",148,54,15,94,37,99,448,
"Wyalkatchem",140,54,16,149,48,59,470,
"Wyndham-East Kimberley",2523,573,235,1385,1033,1721,7477,
"Yalgoo",102,15,4,39,147,29,340,
"Yilgarn",461,114,53,225,206,117,1173,
"York",876,453,124,1224,286,491,3459,
"No usual address (WA)",1111,468,203,2149,3351,772,8055,
"Migratory - Offshore - Shipping (WA)",248,19,14,21,220,0,514,
"Total",995416,347613,72662,591252,149170,506198,2662306,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
